date,description,category, amount 
3/10/2015,mastri advance,Mesanory work," INR 20,000 "
3/10/2015,Exterior design advance ,Mesanory work," INR 25,000 "
7/10/2015,carpenter main door advance ,wood work," INR 20,000 "
10/10/2015,upvc kittech door fullbpayment,Mesanory work," INR 30,000 "
10/17/2015,sand flooring ,Mesanory work," INR 4,600 "
10/17/2015,goa kattal,Mesanory work," INR 20,700 "
10/18/2015,sand construction,Mesanory work," INR 41,000 "
10/18/2015,mestri,Mesanory work," INR 30,000 "
10/18/2015,bricks lorry,Mesanory work," INR 23,000 "
10/19/2015,demolish balcony walll first,Mesanory work," INR 2,000 "
10/19/2015,demolishing room doors,Mesanory work," INR 2,000 "
10/20/2015,bedroom wall construction,Mesanory work," INR 8,000 "
10/23/2015,rafter rods,Mesanory work," INR 13,000 "
10/23/2015,slab iron,Mesanory work," INR 4,150 "
10/24/2015,mestri,Mesanory work," INR 15,000 "
10/24/2015,kankar,Mesanory work," INR 3,000 "
10/28/2015,mestri,Mesanory work," INR 15,000 "
10/29/2015,fan exhuast,lightings," INR 1,360 "
10/29/2015,Iron rods,Mesanory work," INR 2,300 "
10/29/2015,cement 47 bags,Mesanory work," INR 16,100 "
10/29/2015,main door ,wood work," INR 20,000 "
10/30/2015,iron rods  12mm,Mesanory work," INR 1,800 "
10/30/2015,rods for balcony,Mesanory work, INR 700 
10/31/2015,welding Yousuf,Mesanory work," INR 5,000 "
10/31/2015,mestri,Mesanory work," INR 20,000 "
11/3/2015,cutting rod,Mesanory work," INR 6,000 "
11/4/2015,sand,Mesanory work," INR 4,600 "
11/4/2015,Iron  rods,Mesanory work," INR 3,500 "
11/4/2015,Iron  rods,Mesanory work," INR 1,850 "
11/4/2015,Iron  rods,Mesanory work," INR 1,450 "
11/7/2015,door and windows(4) - UPVc,Mesanory work," INR 42,600 "
11/7/2015,mestri,Mesanory work," INR 15,000 "
11/7/2015,grill door for old front door,Mesanory work," INR 5,000 "
11/9/2015,door and windows(4) - UPVc,Mesanory work," INR 25,600 "
11/9/2015,Exterior design full payment,Mesanory work," INR 25,000 "
11/11/2015,mestri,Mesanory work," INR 5,000 "
11/14/2015,Mestri,Mesanory work," INR 15,000 "
11/14/2015,Iron  rods,Mesanory work," INR 4,000 "
11/19/2015,grill door for sliders,Mesanory work," INR 10,000 "
11/19/2015,rafter rods,Mesanory work," INR 20,000 "
11/19/2015,harware,Mesanory work," INR 12,860 "
11/19/2015,A/C,misc," INR 13,000 "
11/19/2015,painting kranti,painting," INR 7,000 "
11/19/2015,office steel boxe,Interiors," INR 14,000 "
11/19/2015,electric wiring chandraya,lightings," INR 1,000 "
11/19/2015,cement 55 bags,Mesanory work," INR 18,800 "
11/22/2015,mestri,Mesanory work," INR 20,000 "
11/23/2015,rafters yusuf,Mesanory work," INR 13,000 "
11/27/2015,misc,misc, INR 200 
11/27/2015,demoloah raju,Mesanory work," INR 2,000 "
11/28/2015,mestri,Mesanory work," INR 20,000 "
11/28/2015,paint kranti,painting," INR 1,700 "
11/28/2015,cladding stones,Mesanory work," INR 36,850 "
11/29/2015,kitchen modular,kitchen," INR 456,820 "
11/29/2015,doors shkur,wood work," INR 38,600 "
11/30/2015,sand,Mesanory work," INR 6,500 "
12/4/2015,welding yusuf,Mesanory work," INR 25,000 "
12/4/2015,mestri,Mesanory work," INR 17,000 "
12/4/2015,cladding laying,Mesanory work," INR 2,000 "
12/5/2015,false ceiling kadir outside,false celing," INR 25,000 "
12/6/2015,temple masonary,Mesanory work," INR 2,500 "
12/6/2015,mestri,Mesanory work," INR 3,000 "
12/6/2015,goa kattal,Mesanory work," INR 2,000 "
12/6/2015,cladding laying,Mesanory work," INR 3,000 "
12/6/2015,cladding stones,Mesanory work," INR 5,000 "
12/8/2015,cladding laying,Mesanory work," INR 4,000 "
12/9/2015,electrician liyakat,lightings," INR 8,000 "
12/10/2015,hardware and misc,Mesanory work," INR 27,700 "
12/12/2015,welding Yusuf for bars balcony n drop,Mesanory work," INR 4,000 "
12/12/2015,temple tiles ,Flooring tiles," INR 10,000 "
12/16/2015,tiles flooring,Flooring tiles," INR 160,516 "
12/18/2015,TV unit hardware,wood work," INR 2,666 "
12/18/2015,TV unit verneer,wood work," INR 13,000 "
12/18/2015,TV unit plywood,wood work," INR 24,000 "
12/18/2015,sand for tiles,Mesanory work," INR 4,500 "
12/18/2015,bricks for temlle,Mesanory work," INR 4,600 "
12/19/2015,carpenter niranjan,wood work," INR 6,000 "
12/20/2015,Tiles laying charges kalim,Flooring tiles," INR 10,000 "
12/20/2015,Tiles laying charges kalim,Flooring tiles," INR 5,000 "
12/24/2015,wooden material,wood work," INR 43,944 "
12/24/2015,Tiles laying charges kalim,Flooring tiles," INR 15,000 "
12/25/2015,window grill Yusuf ,Mesanory work," INR 4,000 "
12/25/2015,false celling kadir outside,false celing," INR 30,600 "
12/26/2015,TV unit plug n switch ,lightings," INR 1,500 "
12/26/2015,electrician liyakat,lightings," INR 5,000 "
12/26/2015,carpenter niranjan,wood work," INR 9,000 "
12/29/2015,outdoor painting shanawaz,painting," INR 5,000 "
12/29/2015,Tiles laying charges kalim,Flooring tiles," INR 12,000 "
12/30/2015,wooden material,wood work," INR 5,500 "
12/30/2015,kitchen  modular,kitchen," INR 223,410 "
12/30/2015,balcony tiles,Flooring tiles," INR 2,000 "
1/1/2016,balcony tiles,Flooring tiles," INR 2,000 "
1/2/2016,wooden material ,wood work," INR 6,466 "
1/2/2016,kitechen tiles,kitchen," INR 43,213 "
1/2/2016,lightings,lightings," INR 43,000 "
1/2/2016,carpenter niranjan,wood work," INR 11,000 "
1/3/2016,flase celing kadir,false celing," INR 10,000 "
1/4/2016,wooden material ,wood work," INR 23,100 "
1/5/2016,hardware,Mesanory work," INR 9,000 "
1/6/2016,hardware kitchen,kitchen," INR 4,150 "
1/9/2016,carpenter niranjan,wood work," INR 20,000 "
1/9/2016,flase celing kadir,false celing," INR 6,000 "
1/9/2016,kadir painting outside ,painting," INR 25,000 "
1/12/2016,upvc  door ,Mesanory work," INR 16,945 "
1/16/2016,lightings wall exterior,lightings," INR 12,137 "
1/16/2016,wooden material,wood work," INR 10,000 "
1/16/2016,misc,misc," INR 6,000 "
1/17/2016,wooden material Temple ,wood work," INR 21,700 "
1/19/2016,painting material,painting," INR 73,000 "
1/19/2016,kadir painting outside ,painting," INR 15,000 "
1/20/2016,wooden material first floor door,wood work," INR 36,570 "
1/23/2016,wooden material,wood work," INR 1,500 "
1/23/2016,wooden polish yadav,wood work," INR 10,000 "
1/23/2016,kadir painting outside ,painting," INR 15,000 "
1/23/2016,carpenter niranjan,wood work," INR 20,000 "
1/30/2016,lightings,lightings," INR 9,200 "
1/30/2016,electrician liyakat,lightings," INR 7,000 "
1/30/2016,false ceiling kadir kitchen + bedroom,false celing," INR 30,000 "
1/30/2016,wooden polish yadav,wood work," INR 20,000 "
1/30/2016,carpenter niranjan,wood work," INR 10,000 "
2/1/2016,wooden flooring,wood work," INR 20,000 "
2/3/2016,electric fittings,lightings," INR 11,300 "
2/3/2016,kitchen modular,kitchen," INR 76,876 "
2/6/2016,wooden material,wood work," INR 3,000 "
2/6/2016,electric fittings,lightings," INR 3,000 "
2/6/2016,glass,wood work," INR 8,200 "
2/6/2016,electric fittings,lightings," INR 4,000 "
2/6/2016,lightings,lightings," INR 41,100 "
2/6/2016,false ceiling kadir kitchen + bedroom+ halls,false celing," INR 70,800 "
2/6/2016,painting kadir,painting," INR 13,000 "
2/5/2016,kitechen items shopping ,kitchen," INR 23,000 "
2/7/2016,sofa fabric ,Interiors," INR 8,000 "
2/7/2016,misc shopping kitchen,Interiors," INR 8,000 "
2/11/2016,wooden material for kidz room,wood work," INR 41,262 "
2/14/2016,misc fans,lightings," INR 8,900 "
2/13/2016,electrician liyakat,lightings," INR 6,000 "
2/14/2016,carpenter niranjan,wood work," INR 11,000 "
2/16/2016,painting material,painting," INR 90,291 "
2/16/2016,hardware,Mesanory work," INR 13,500 "
2/20/2016,temple Moorthy ,Interiors," INR 28,000 "
2/20/2016,wooden material for kidz room,wood work," INR 10,400 "
2/20/2016,harware bolts,Mesanory work," INR 3,770 "
2/13/2016,wooden polish yadav,wood work," INR 20,000 "
2/21/2016,wooden polish yadav,wood work," INR 10,000 "
2/21/2016,carpenter niranjan kidz room,wood work," INR 10,000 "
2/23/2016,harware bolts and alrdrops,Mesanory work," INR 15,700 "
2/24/2016,Carpenter niranjan,wood work," INR 25,000 "
2/27/2016,kadir painting outside ,painting," INR 10,000 "
2/27/2016,false celling kadir firstfloor hall,false celing," INR 20,000 "
2/27/2016,electrician liyakat,lightings," INR 7,000 "
2/28/2016,furniture,Interiors," INR 62,500 "
2/28/2016,misc shopping kitchen,Interiors," INR 2,000 "
2/28/2016,wooden material,wood work," INR 2,500 "
2/27/2016,glass first floor,wood work," INR 6,000 "
3/2/2016,hardware ,Mesanory work," INR 13,122 "
3/2/2016,electric wiring,lightings," INR 15,119 "
3/5/2016,lightings,lightings," INR 30,000 "
3/5/2016,glass first floor,wood work," INR 3,000 "
3/5/2016,misc,misc," INR 2,000 "
3/9/2016,wooden material,wood work," INR 35,000 "
3/6/2016,carpenter niranjan,wood work," INR 10,000 "
3/11/2016,glass first floor,wood work," INR 2,500 "
3/11/2016,wooden material,wood work," INR 17,000 "
3/12/2016,carpenter niranjan,wood work," INR 5,000 "
3/12/2016,kadir false ceiling ,false celing," INR 30,000 "
3/12/2016,kadir painting ,painting," INR 10,000 "
3/12/2016,Woode Polish yadav,wood work," INR 10,000 "
3/14/2016,electrician liyakat,lightings," INR 4,000 "
3/14/2016,lightings,lightings," INR 19,000 "
3/14/2016,wooden material,wood work," INR 3,870 "
3/14/2016,lightings,lightings," INR 17,000 "
3/14/2016,wooden material,wood work," INR 4,146 "
3/14/2016,A/C,misc," INR 2,800 "
3/25/2016,Electric switches,lightings," INR 18,600 "
3/25/2016,lightings,lightings," INR 19,000 "
3/25/2016,wooden material all drops and bolts,wood work," INR 2,800 "
3/25/2016,misc,misc," INR 1,000 "
3/25/2016,carpenter niranjan,wood work," INR 20,000 "
3/26/2016,Wooden Polish yadav,wood work," INR 2,000 "
3/26/2016,Wooden polish yadav,wood work," INR 10,000 "
3/26/2016,Kadir painting,painting," INR 10,000 "
3/26/2016,Kadir false ceiling,false celing," INR 40,000 "
3/30/2016,blinds,Interiors," INR 38,195 "
3/29/2016,wooden material all drops and bolts,wood work," INR 8,610 "
3/29/2016,wooden material tempe floor,wood work," INR 3,000 "
4/1/2016,wooden flooring material kids floor,wood work," INR 17,000 "
4/2/2016,electrician liyakat,lightings," INR 20,000 "
4/2/2016,wooden material beeding,wood work," INR 2,000 "
4/3/2016,carpenter niranjan,wood work," INR 20,000 "
4/3/2016,wooden flooring Niranjan ,wood work," INR 50,000 "
4/2/2016,Yusuf welding rafters' kitchen ,Mesanory work," INR 15,000 "
4/2/2016,mattresses ,Interiors," INR 87,000 "
4/10/2016,Woode Polish yadav,wood work," INR 15,500 "
4/10/2016,painting kadir,painting," INR 12,000 "
4/10/2016,furniture outdoor seats and chair,Interiors," INR 40,000 "
4/10/2016,furniture sofa covers,Interiors," INR 28,000 "
4/10/2016,wooden flooring Niranjan ,wood work," INR 87,000 "
4/18/2016,blinds,Interiors," INR 21,000 "
4/20/2016,bathroom tiles,bathrooms," INR 43,000 "
4/19/2016,sofa making,Interiors," INR 5,000 "
4/21/2016,painting  material,painting," INR 68,000 "
4/16/2016,wooden flooring kiran,wood work," INR 30,000 "
4/28/2016,bathroom labour contract,bathrooms," INR 20,000 "
4/28/2016,bathroom tiles laying ,bathrooms," INR 9,000 "
5/1/2016,sofa making,Interiors," INR 9,000 "
5/7/2016,bathroom accessories,bathrooms," INR 120,000 "
5/8/2016,accessories ,Interiors," INR 45,000 "
5/12/2016,accessories ,bathrooms," INR 53,500 "
6/2/2016,bathroom labour contract,bathrooms," INR 80,000 "
6/2/2016,bathroom tiles laying ,bathrooms," INR 6,000 "
6/2/2016,bathroom accessories,bathrooms," INR 120,000 "
6/16/2016,Accessories,Interiors," INR 206,800 "
6/21/2016,shoerack,wood work," INR 17,000 "
7/28/2016,Glass Priyanka,Interiro ," INR 6,100 "
7/28/2016,Water pressure equip,Plumbing," INR 15,000 "
